"","incidence_rate_100000","discription","registry_code","latitude","longitude","distance"
"1",0.299015289883011,"Canada, Alberta",312400199,55.001251,-115.002136,798982.413527085
"2",0.387376967811837,"Canada, British Columbia",312400299,55.001251,-125.002441,256698.821253879
"3",0.590704089739765,"Canada, Manitoba",312400399,55.001251,-97.001038,333925.864788374
"4",0,"Canada, Northwest Territories",312400499,65.0000004,-118,338068.506966557
"5",0.32431626024434,"Canada, New Brunswick",312400599,46.500283,-66.750183,124129.562303182
"6",0.509191327792766,"Canada, Nova Scotia",312400699,45.1960403,-63.1653789,23876.9633224945
"7",0.567891419160656,"Canada, Prince Edward Island",312400799,46.5035454,-63.5955171,5722.2577336102
"8",0.47972751477161,"Canada, Newfoundland and Labrador",312400899,53.8217327,-61.2295532,22070.6430952879
"9",0,"Canada, Yukon",312400999,63.000147,-136.002502,378056.309763243
"10",0.54199853491021,"Canada, Ontario",312401099,50.000678,-86.000977,371951.693274685
"11",0.466675377940388,"Canada, Saskatchewan",312401299,55.5321257,-106.1412243,776445.29809489
"12",0,"Canada, Nunavut",312401399,70.0000073,-90,55589.1401870038
"13",0.576493065702142,"USA",384000099,39.7837304,-100.4458825,1217088.91282438
"14",0.704009569166258,"USA, California, San Francisco Bay Area",384000299,37.7884969,-122.3558473,2215.01158876974
"15",0.408552025316295,"USA, California, Los Angeles County",384000399,34.3155072,-118.2096814,42970.3492196307
"16",0.685761966712229,"USA, Connecticut",384000499,41.6500201,-72.7342163,41022.4653144809
"17",0.656806083377751,"USA, Georgia, Atlanta",384000599,33.7490987,-84.3901849,356049.104625245
"18",0.490600583422214,"USA, Iowa",384000699,41.9216734,-93.3122705,1309448.08457865
"19",0.419201438028613,"USA, Louisiana, New Orleans",384000799,29.9499323,-90.0701156,9693.09127799453
"20",0.914513698195847,"USA, Michigan, Detroit",384000899,42.3315509,-83.0466403,632948.081119893
"21",0.642051368389814,"USA, New Mexico",384000999,34.5708167,-105.993007,760937.883879686
"22",0.493166837220198,"USA, Utah",384001299,39.4225192,-111.7143584,849657.812239229
"23",0.466877747283744,"USA, Washington, Seattle",384001399,47.6038321,-122.3300624,862.940393432387
"24",0.648178830585943,"USA, New Jersey",384001599,40.0757384,-74.4041622,25603.7798838236
"25",0.584577113056,"USA, New York State",384001699,43.1561681,-75.8449946,223962.9468275
"26",0.81501627604844,"USA, Kentucky",384001999,37.5726028,-85.1551411,682209.910283155
"27",0.666665736435406,"USA, Louisiana",384002299,30.8703881,-92.007126,114954.25787236
"28",0.49237351857804,"USA, California",384002599,36.7014631,-118.7559974,238060.698820239
"29",0.691902485826249,"USA, Arkansas",384004099,35.2048883,-92.4479108,573420.163292009
"30",0.833817642413969,"USA, Delaware",384004199,38.6920451,-75.4013315,20292.7776857011
"31",0.52330787759599,"USA, Maryland",384004299,39.5162234,-76.9382069,39338.591286168
"32",0.470629728877134,"USA, Minnesota",384004399,45.9896587,-94.6113288,1148238.85565017
"33",0.485894955341395,"USA, Mississippi",384004499,32.9715645,-89.7348497,289381.090642069
"34",0.606575323162724,"USA, North Carolina",384004599,35.6729639,-79.0392919,178115.80901216
"35",0.300598491596769,"USA, North Dakota",384004699,47.6201461,-100.540737,1157186.81784776
"36",0.396533661345978,"USA, Nebraska",384004799,41.7370229,-99.5873816,1391303.35389155
"37",0.616020348384148,"USA, New Hampshire",384004899,43.4849133,-71.6553992,85067.0049319687
"38",0.614164666626078,"USA, Nevada",384004999,39.5158825,-116.8537227,432889.024110972
"39",0.189601315833132,"USA, Alaska",384005099,64.4459613,-149.680909,327142.8881462
"40",0.668102828793989,"USA, Alabama",384005199,33.2588817,-86.8295337,294627.486569924
"41",0.485508913830749,"USA, Arizona",384005299,34.395342,-111.7632755,366029.736069278
"42",0.421342337699985,"USA, Colorado",384005399,38.7251776,-105.6077167,1077901.77236819
"43",0.493670846887317,"USA, Florida",384005599,27.7567667,-81.4639835,91460.3310021024
"44",0.576211396936277,"USA, Georgia",384005699,32.3293809,-83.1137366,184718.41610771
"45",0.322956584484981,"USA, Idaho",384005799,43.6447642,-114.0154071,769020.049415968
"46",0.620904825023427,"USA, Illinois",384005899,40.0796606,-89.4337288,1044248.42608709
"47",0.670991338525366,"USA, Indiana",384005999,40.3270127,-86.1746933,787900.933718903
"48",0.580497343331581,"USA, Massachusetts",384006099,42.3788774,-72.032366,81053.4148717319
"49",0.892205059312518,"USA, Maine",384006199,45.709097,-68.8590201,127579.012910193
"50",0.757736020852895,"USA, Michigan",384006299,43.6211955,-84.6824346,809486.09747
"51",0.669430256586419,"USA, Missouri",384006399,38.7604815,-92.5617875,953209.476096675
"52",0.542214916952039,"USA, Montana",384006499,47.3752671,-109.6387579,943896.606726164
"53",0.565668638631907,"USA, Ohio",384006599,40.2253569,-82.6881395,500746.233557133
"54",0.671647605307628,"USA, Oklahoma",384006699,34.9550817,-97.2684063,613718.375371276
"55",0.444738358490055,"USA, Oregon",384006799,43.9792797,-120.737257,266574.016758243
"56",0.625277011375003,"USA, Pennsylvania",384006899,40.9699889,-77.7278831,208421.017919797
"57",0.344806660009599,"USA, Rhode Island",384006999,41.7962409,-71.5992372,16913.5497246768
"58",0.558249152019538,"USA, South Carolina",384007099,33.6874388,-80.4363743,103430.840537933
"59",0.547331588316785,"USA, Texas",384007199,31.8160381,-99.5120986,439107.128255296
"60",0.375232644239428,"USA, Vermont",384007299,44.5990718,-72.5002608,122059.443050706
"61",0.438919952883549,"USA, Washington State",384007399,47.2868352,-120.2126139,159842.040859578
"62",1.22180627476067,"USA, West Virginia",384007499,38.4758406,-80.8408415,303980.430230428
"63",0.55646039254041,"USA, Wisconsin",384007599,44.4308975,-89.6884637,979851.412105571
"64",0.894943823097733,"USA, Wyoming",384007699,43.1700264,-107.5685348,1245920.0438676
"65",0.683782276885217,"USA, Virginia",384007799,37.1232245,-78.4927721,110211.622649282
"66",0.451239509809496,"USA, South Dakota",384007899,44.6471761,-100.348761,1460502.54942892
"67",0.638155079483988,"USA, Tennessee",384007999,35.7730076,-86.2820081,577135.723001871
